,COD_IPRESS,x,y,SECTOR_R
304,00021983,,,PRIVADO
305,00029434,-5.1957094,-80.652969,PRIVADO
306,00029136,-5.1957094,-80.652969,PRIVADO
307,00022074,,,PRIVADO
308,00022107,,,PRIVADO
309,00022071,-16.4217118,-71.50877223,PRIVADO
310,00022075,-12.84267963,-74.57026949,PUBLICO
311,00022054,,,PRIVADO
312,00022089,,,PRIVADO
313,00028788,-12.0685492,-77.0467484,PRIVADO
314,00029515,-13.164316,-74.223504,PRIVADO
315,00022090,,,PRIVADO
316,00022093,-16.4090474,-71.537451,PRIVADO
317,00022027,,,PRIVADO
318,00022052,,,PRIVADO
319,00022059,,,PRIVADO
320,00028406,-11.98459563,-77.12504723,PRIVADO
321,00028605,-12.15931429,-76.95683093,PUBLICO
322,00029576,-11.94372326,-76.97638209,PRIVADO
323,00021957,,,PRIVADO
324,00022062,,,PRIVADO
325,00021955,,,PRIVADO
326,00022043,,,PRIVADO
327,00021963,,,PRIVADO
328,00021935,,,PRIVADO
329,00021939,,,PRIVADO
330,00029028,-5.1863265,-80.5987549,PRIVADO
331,00029057,-4.59040942,-81.27186809,PRIVADO
332,00021952,-13.640022,-72.865096,PUBLICO
333,00021979,,,PRIVADO
334,00022102,-12.0531876,-77.0418828,PRIVADO
335,00022060,,,PRIVADO
336,00021958,,,PRIVADO
337,00021991,,,PRIVADO
338,00021933,-5.1782884,-80.6548882,PRIVADO
339,00022046,,,PRIVADO
340,00028949,-11.77920373,-75.50179931,PUBLICO
341,00029510,-3.75094013,-73.25055435,PRIVADO
342,00022021,-11.8670107,-77.07671932,PRIVADO
343,00022019,,,PRIVADO
344,00021975,,,PRIVADO
345,00022079,,,PRIVADO
346,00022113,,,PRIVADO
347,00021972,,,PRIVADO
348,00022051,,,PRIVADO
349,00028634,,,PRIVADO
350,00029178,-13.5288,-71.9503,PRIVADO
351,00020848,,,PUBLICO
352,00021948,,,PRIVADO
353,00022004,,,PRIVADO
354,00021943,-12.00653676,-77.07689984,PRIVADO
355,00022063,,,PRIVADO
356,00021951,,,PRIVADO
357,00021985,,,PRIVADO
358,00029097,-7.1617465,-78.5127855,PRIVADO
359,00026826,-12.0920925,-77.0241458,PRIVADO
360,00028097,,,PRIVADO
361,00021938,,,PRIVADO
362,00022020,,,PRIVADO
363,00021969,-7.15448313,-77.70199001,PUBLICO
364,00021997,,,PRIVADO
365,00021940,-12.0689675,-77.04686768,PRIVADO
366,00021984,,,PRIVADO
367,00029265,-12.1675125,-76.9201161,PRIVADO
368,00022082,,,PRIVADO
369,00029476,-6.7948665,-79.8454916,PRIVADO
370,00017963,,,PRIVADO
371,00018031,,,PRIVADO
372,00018084,,,PRIVADO
373,00018447,,,PRIVADO
374,00018187,-6.76810289,-79.84148577,PRIVADO
375,00017962,,,PRIVADO
376,00018137,-6.7376852,-79.6305599,PRIVADO
377,00028862,-12.068618,-75.21241,PRIVADO
378,00029235,-6.4714472,-79.85531173,PUBLICO
379,00018551,,,PUBLICO
380,00018116,,,PRIVADO
381,00018130,,,PRIVADO
382,00018714,,,PRIVADO
383,00018092,-8.19008167,-77.42230167,PUBLICO
384,00018091,-8.16052667,-77.41634333,PUBLICO
385,00028608,-12.1285755,-76.9991278,PRIVADO
386,00029033,-12.14164074,-76.97410337,PRIVADO
387,00018415,-13.7069722,-76.207802,PRIVADO
388,00018094,,,PRIVADO
389,00018115,,,PRIVADO
390,00018151,,,PRIVADO
391,00018226,-7.75708165,-78.00459206,PUBLICO
392,00019000,,,PRIVADO
393,00018279,,,PRIVADO
394,00018593,,,PRIVADO
395,00029280,-12.1126145,-76.9892775,PRIVADO
396,00029360,,,PRIVADO
397,00018182,,,PRIVADO
398,00018150,,,PRIVADO
399,00018336,,,PRIVADO
400,00018118,-5.35840475,-79.02358846,PUBLICO
401,00018135,,,PRIVADO
402,00017949,-12.0681613,-77.1156425,PRIVADO
403,00018225,-7.78067643,-77.80842813,PUBLICO
404,00029208,-15.494369,-70.1334545,PRIVADO
405,00018132,,,PRIVADO
406,00018153,,,PRIVADO
407,00018197,,,PRIVADO
